Timestamp,Open,High,Low,Close,Volume,datetime
1745386440.0,93447.0,93498.0,93447.0,93498.0,0.09739094,2025-04-23 05:34:00+00:00
1745386500.0,93498.0,93498.0,93456.0,93456.0,0.0231939,2025-04-23 05:35:00+00:00
1745386560.0,93459.0,93459.0,93421.0,93421.0,0.01890641,2025-04-23 05:36:00+00:00
1745386620.0,93405.0,93416.0,93403.0,93408.0,0.44002071,2025-04-23 05:37:00+00:00
1745386680.0,93407.0,93407.0,93376.0,93400.0,0.0623403,2025-04-23 05:38:00+00:00
1745386740.0,93400.0,93400.0,93377.0,93377.0,0.03436728,2025-04-23 05:39:00+00:00
1745386800.0,93382.0,93382.0,93360.0,93360.0,0.03935745,2025-04-23 05:40:00+00:00
1745386860.0,93364.0,93371.0,93337.0,93349.0,0.03926461,2025-04-23 05:41:00+00:00
1745386920.0,93350.0,93385.0,93338.0,93338.0,0.28119947,2025-04-23 05:42:00+00:00
1745386980.0,93337.0,93368.0,93325.0,93368.0,0.01640754,2025-04-23 05:43:00+00:00
1745387040.0,93369.0,93370.0,93369.0,93370.0,0.02966081,2025-04-23 05:44:00+00:00
1745387100.0,93370.0,93376.0,93366.0,93376.0,1.04437895,2025-04-23 05:45:00+00:00
1745387160.0,93396.0,93396.0,93349.0,93384.0,0.15926,2025-04-23 05:46:00+00:00
1745387220.0,93384.0,93423.0,93384.0,93392.0,1.16453267,2025-04-23 05:47:00+00:00
1745387280.0,93413.0,93513.0,93413.0,93513.0,2.95162386,2025-04-23 05:48:00+00:00
1745387340.0,93519.0,93519.0,93487.0,93516.0,0.64440321,2025-04-23 05:49:00+00:00
1745387400.0,93516.0,93526.0,93477.0,93526.0,4.2809705,2025-04-23 05:50:00+00:00
1745387460.0,93527.0,93568.0,93527.0,93568.0,0.59631663,2025-04-23 05:51:00+00:00
1745387520.0,93568.0,93568.0,93567.0,93567.0,0.08937321,2025-04-23 05:52:00+00:00
1745387580.0,93564.0,93596.0,93563.0,93596.0,0.2600387,2025-04-23 05:53:00+00:00
1745387640.0,93601.0,93601.0,93563.0,93563.0,0.08191154,2025-04-23 05:54:00+00:00
1745387700.0,93539.0,93539.0,93508.0,93517.0,0.02426482,2025-04-23 05:55:00+00:00
1745387760.0,93517.0,93517.0,93514.0,93514.0,0.00571984,2025-04-23 05:56:00+00:00
1745387820.0,93515.0,93540.0,93515.0,93531.0,0.45543611,2025-04-23 05:57:00+00:00
1745387880.0,93531.0,93531.0,93482.0,93492.0,0.0568899,2025-04-23 05:58:00+00:00
1745387940.0,93492.0,93510.0,93491.0,93508.0,0.12567528,2025-04-23 05:59:00+00:00
1745388000.0,93511.0,93512.0,93495.0,93495.0,0.05676169,2025-04-23 06:00:00+00:00
1745388060.0,93495.0,93495.0,93462.0,93466.0,0.05042302,2025-04-23 06:01:00+00:00
1745388120.0,93465.0,93492.0,93441.0,93492.0,2.07172226,2025-04-23 06:02:00+00:00
1745388180.0,93492.0,93550.0,93492.0,93550.0,0.02426104,2025-04-23 06:03:00+00:00
1745388240.0,93550.0,93590.0,93550.0,93574.0,0.04385356,2025-04-23 06:04:00+00:00
1745388300.0,93559.0,93621.0,93559.0,93611.0,0.02376681,2025-04-23 06:05:00+00:00
1745388360.0,93605.0,93632.0,93605.0,93632.0,0.03506201,2025-04-23 06:06:00+00:00
1745388420.0,93648.0,93708.0,93636.0,93680.0,0.52835593,2025-04-23 06:07:00+00:00
1745388480.0,93632.0,93688.0,93632.0,93685.0,0.00609557,2025-04-23 06:08:00+00:00
1745388540.0,93685.0,93742.0,93684.0,93739.0,2.04532614,2025-04-23 06:09:00+00:00
1745388600.0,93710.0,93739.0,93691.0,93703.0,0.2697755,2025-04-23 06:10:00+00:00
1745388660.0,93699.0,93714.0,93676.0,93714.0,0.19581625,2025-04-23 06:11:00+00:00
